review,sentiment
got done watching edge love way one worst title far year felt like chore watching keira knightly unlikable skeleton looking character made cringe even throughout coarse film br br took four night watch boring good thing cillian murphy always good believable severely looked many film however good enough br br apart unlikable character boring storyline plot also emotionally unsatisfying felt like spent time watching nothing done smart thing turned kept respect cillian murphy great cinematography,0
used love movie kid seeing year later actually suck academy might ahead time back almost nothing offer today movie like caddyshack stripe hold much better today steaming dogpile great joke except one liner heard million time br br recently bought dvd hope would gem remembered well way soundtrack widely recognizable hit smash compilation others mentioned frequent voice over terrible thing interesting predicting character line said yep watched movie much back br br reason writing review give two cent movie forgotten sorry say,0
name frau main character german word woman know intentional sure got giggle german audience fantasy film festival last year shown br br giggle movie got aiming giggle horrible movie heaven sake horrible movie one meaning shame premise like wasted horrible even unbearable moment viewer definetely faint heart even necessary show thing shown even going moral obligation movie really kind task function discussion shown new low whole torture movement grown last year,0
never heard movie saw dvd great movie perfect example movie took every cast member make work overhyped typical hollywood movie old overhyped actor current quote list actor could pulled performance movie brought back memory post vietnam war military experience concentrated people sent fight portrayed character fear emotion even volunteered service regular people cut military life remember experience put mildly adapt military life either never forget stayed touch highly recommend think serving present day afganistan basic training trip notice drill sergeant morning people maybe need sensitivity training ha ha ha,1
bad guy called judge jerk even nominally sensitive one self congratulatory tone really make sick though guy perspective behaviour think real problem though quality contestant single smooth truly charming one lot pick pathetic girl crowd one guy chance let see real player trying truly unattainable girl maybe show otherwise revolting half hour self love real sexual tension take two,0
say without shadow doubt going overboard single worst film ever seen yes seen cujo adam sandler abomination schecky moskowitz wannabe comedian working cruise liner plot br br nothing else film make sense place like mad man breakfast wacky naked gun kind way frustrating throw shoe v kind way even general noriega make appearance reason comprehend certainly humour add mix miss australia worst australian accent ever heared something call worst film ever made going overboard even fit basic definition film highly recomend seeing film elevate standing every bad film ever see guarantee first thing say seeing bad film least bad going overboard,0
movie sit easily even particularly like movie type person recognizes great film even like genre first movie could stand watch cat hat worst movie ever seen seen lot movie acting okay myers good cat really annoying silly song cat sings boring monotonous even child audience plot drag viewer must suffer poor dialogue witty parental remark disgusting funny remember awful comment garden hoe compared well type person people call ho even though movie really short seemed last forever waste time know small kid hated movie child stand know adult would like fume film even feel like wasting anymore time writing review hated summary spend minute life watching see good movie br br star lowest review ever given movie,0
may longest attention span second movie refused see way even bought dvd classic status br br first thought director playing big joke kept waiting resolution something laugh something keep interest resolution never came rather writing laughably amateurish movie dragged felt disjointed like someone cut tv series feature length academy must drug nominated movie le eight oscar br br repeat second movie refused watch way first exterminator hope give indication bad really,0
think would usa get lot joke liked princess bride forest gump would like movie compare quality filming course cameraman trip obviously done purpose killer tomato hundred time better nepolean dynamite opinion sure people france would appreciate caricature french film world audience trained film critic know like stop laughing whole movie side jaw hurting end movie,1
movie always broadway movie classic long still people sing dance act,1
rare come across film awful annoying irritating without doubt one worst film ever seen br br plot blur confusing pointlessly flashy editing ludicrous domino become bad as tough bitch gold fish died kid traumatic event left emotionally stunted hating everyone dialogue clichéd banal littered laughable line three kind people world rich poor everyone else one point bounty hunter guy tied back bus combination number tattooed arm confusing mobile phone call instead rolling sleeve reading number blow arm shotgun another point bounty hunter take bomb meeting arranged mafia threaten set bomb unless mafia let go clearly going meeting would easy br br keira knightley unconvincing dreadfully miscast mickey rourke manage salvage credibility mess br br enjoyed tony scott previous film true romance one could think suffering drivel must made complete idiot,0
sure show one familiar might think good almost close baywatch hawaii cast location style directing publicity  show woman walking around beach wonder people misconception decide watch br br wrong cause decide watch show actually thing going real juicy story conflict turn really exciting watch pretty much  addictive br br story hotel clerk manager owner complicated love life also enter troublesome hotel visitor powerful man trying steal hotel actually exciting sound br br deny acting suck bad look away story consistence good enough soundtrack fitting pretty well scenario action time took couple episode actually anything happen solidly patience br br recommendation really enjoy watching zillion time better expected br br rating grade b br br please rate review reading thanks,1
